,window_size,C,hist,epsilon,accuracy,auc_score,symbol
15,360,3.0,5,0.1,0.7626527050610821,0.7568597935610716,IT
17,360,3.0,30,0.1,0.7591436217662801,0.7575795244469943,HPQ
16,360,3.0,10,0.1,0.7230499561787905,0.7229153199741435,EW
16,360,3.0,10,0.1,0.7449605609114811,0.7420014949899305,BMY
0,60,1.5,5,0.1,0.7317073170731707,0.7284688995215312,CFG
17,360,3.0,30,0.1,0.7698483496877788,0.7677758653662268,TAP
17,360,3.0,30,0.1,0.7190008920606601,0.7143622054291816,SJM
14,360,1.5,30,0.1,0.7975022301516503,0.7971751412429379,COF
17,360,3.0,30,0.1,0.7787689562890276,0.7758960252091153,AIZ
17,360,3.0,30,0.1,0.7537912578055308,0.7488783383937033,O
17,360,3.0,30,0.1,0.8206958073148974,0.8201177903624907,JEC
17,360,3.0,30,0.1,0.7564674397859055,0.7545197253385407,DISH
17,360,3.0,30,0.1,0.7805530776092774,0.7778781472227561,DUK
17,360,3.0,30,0.1,0.8217821782178217,0.8233908948194661,NWSA
17,360,3.0,30,0.1,0.7957181088314005,0.7954442530935069,PCAR
16,360,3.0,10,0.1,0.8119834710743802,0.8119011296045527,TRIP
17,360,3.0,30,0.1,0.8144513826940232,0.8134102406868005,PNC
14,360,1.5,30,0.1,0.8126672613737734,0.8110051134547779,BEN
13,360,1.5,10,0.1,0.8396143733567046,0.8384405452078451,STI
17,360,3.0,30,0.1,0.7341659232827832,0.733050847457627,HSY
16,360,3.0,10,0.1,0.7703768624014022,0.7690340505225943,ROL
10,180,3.0,10,0.1,0.7638152914458743,0.7608178337610402,ARE
17,360,3.0,30,0.1,0.7983942908117752,0.7979902946716468,EA
17,360,3.0,30,0.1,0.8215878679750223,0.8217690779166189,PHM
16,360,3.0,10,0.1,0.7528483786152498,0.7515395736565259,JBHT
9,180,3.0,5,0.1,0.7151898734177216,0.7128378378378378,HLT
12,360,1.5,5,0.1,0.7504363001745201,0.7475889255592226,ORCL
0,60,1.5,5,0.1,0.6153846153846154,0.5833333333333334,QRVO
12,360,1.5,5,0.1,0.8211169284467714,0.8213023448544824,HAL
15,360,3.0,5,0.1,0.7626527050610821,0.7585654288240495,MSCI
12,360,1.5,5,0.1,0.7678883071553229,0.7663003663003665,TPR
17,360,3.0,30,0.1,0.7850133809099019,0.7825203252032521,IP
15,360,3.0,5,0.1,0.8176265270506108,0.8145398865158654,ETFC
17,360,3.0,30,0.1,0.7636039250669046,0.7605694467572727,CNC
14,360,1.5,30,0.1,0.7136485280999108,0.7010945850235014,LLY
15,360,3.0,5,0.1,0.8289703315881326,0.829252671643976,REGN
17,360,3.0,30,0.1,0.8287243532560215,0.8280892320837612,HES
12,360,1.5,5,0.1,0.7835951134380453,0.7813360066176087,MDT
12,360,1.5,5,0.1,0.7678883071553229,0.7646833013435701,MAA
12,360,1.5,5,0.1,0.7399650959860384,0.7331746641074857,MDLZ
17,360,3.0,30,0.1,0.7983942908117752,0.7956190019193857,ES
15,360,3.0,5,0.1,0.8027923211169284,0.8025441549444076,A
17,360,3.0,30,0.1,0.7484388938447815,0.7466101694915255,MSI
17,360,3.0,30,0.1,0.8028545941123997,0.8026171641125591,NBL
10,180,3.0,10,0.1,0.7554882664647994,0.7534101127481497,CI
17,360,3.0,30,0.1,0.784121320249777,0.7823591682177831,V
17,360,3.0,30,0.1,0.8073148974130241,0.8072308524861526,FTI
17,360,3.0,30,0.1,0.8055307760927743,0.8044256120527307,IPGP
